Underlying,Spot,Expiry,Strike,Is_ATM,CE_Symbol,CE_LTP,CE_Mark,CE_Bid,CE_Ask,CE_IV,CE_Delta,CE_OI,PE_Symbol,PE_LTP,PE_Mark,PE_Bid,PE_Ask,PE_IV,PE_Delta,PE_OI,Straddle_Mark,Straddle_LTP,Straddle_Bid,Straddle_Ask,Lower_Breakeven,Upper_Breakeven,Premium_Pct_Spot
ETH,2492.87,14-09-2026,2400.0,False,C-ETH-2400-140926,,93.31469165,89.05,95.5,40.54,0.976,0.0,P-ETH-2400-140926,1.1,0.44510883,0.42,0.9,40.59,-0.024,20.0,93.76,94.41,89.47,96.4,2306.24,2493.76,3.76
ETH,2492.87,14-09-2026,2420.0,False,C-ETH-2420-140926,,73.68131735,69.95,75.7,36.04,0.959,0.0,P-ETH-2420-140926,1.16,0.74179607,1.15,1.5,36.18,-0.042,15.24,74.42,74.84,71.1,77.2,2345.58,2494.42,2.99
ETH,2492.87,14-09-2026,2440.0,False,C-ETH-2440-140926,,53.84738029,54.36,56.6,29.54,0.936,0.0,P-ETH-2440-140926,2.72,1.323891,2.68,2.7,31.78,-0.078,30.0,55.17,56.57,57.04,59.3,2384.83,2495.17,2.21
ETH,2492.87,14-09-2026,2460.0,False,C-ETH-2460-140926,,36.51981589,36.91,39.0,30.61,0.82,0.0,P-ETH-2460-140926,,3.37919984,4.96,5.3,29.95,-0.175,0.0,39.9,39.9,41.87,44.3,2420.1,2499.9,1.6
ETH,2492.87,14-09-2026,2480.0,False,C-ETH-2480-140926,,21.92861832,22.6,24.2,30.85,0.64,0.0,P-ETH-2480-140926,,8.78317365,9.61,10.7,30.27,-0.357,0.0,30.71,30.71,32.21,34.9,2449.29,2510.71,1.23
ETH,2492.87,14-09-2026,2500.0,True,C-ETH-2500-140926,,11.34305421,11.21,13.4,30.79,0.426,0.0,P-ETH-2500-140926,,18.20343695,17.27,20.2,30.2,-0.576,0.0,29.55,29.55,28.48,33.6,2470.45,2529.55,1.19
ETH,2492.87,14-09-2026,2520.0,False,C-ETH-2520-140926,5.5,4.73404736,6.13,6.7,30.21,0.229,59.81,P-ETH-2520-140926,,31.50216447,32.49,33.9,29.36,-0.778,0.0,36.24,37.0,38.62,40.6,2483.76,2556.24,1.45
ETH,2492.87,14-09-2026,2540.0,False,C-ETH-2540-140926,2.3,1.64654628,2.35,3.3,30.13,0.098,15.0,P-ETH-2540-140926,,48.12166435,45.58,50.7,26.55,-0.929,0.0,49.77,50.42,47.93,54.0,2490.23,2589.77,2.0
ETH,2492.87,14-09-2026,2560.0,False,C-ETH-2560-140926,,0.86999023,0.01,1.7,33.97,0.052,0.0,P-ETH-2560-140926,,67.92523889,63.5,69.4,33.93,-0.949,0.0,68.8,68.8,63.51,71.1,2491.2,2628.8,2.76
ETH,2492.87,14-09-2026,2580.0,False,C-ETH-2580-140926,1.3,0.51354727,0.01,1.0,37.95,0.03,10.0,P-ETH-2580-140926,,87.58696765,82.7,89.2,38.08,-0.97,0.0,88.1,88.89,82.71,90.2,2491.9,2668.1,3.53
